1 Chronicles 16:34
1 Chronicles 16:8
1 Corinthians 1:30
1 Corinthians 13:4
1 Corinthians 13:5
1 Corinthians 13:7
1 Corinthians 6:2
1 Corinthians 9:26-27
1 John 1:10
1 John 1:9
1 John 2:17
1 John 2:3-4
1 John 3:1
1 John 3:17
1 John 3:17
1 John 3:8
1 John 4:12
1 John 4:16
1 John 4:19
1 John 4:19
1 John 4:9-10
1 John 5:14
1 Peter 1:15
1 Peter 1:8
1 Peter 2:12
1 Peter 3:3-4
1 Peter 3:8
1 Peter 4:10
1 Peter 4:8
1 Peter 5:7
1 Peter 5:8-9
1 Peters 5:7
1 Samuel 12:22
1 Samuel 16:7
1 Thessalonians 3:12
1 Thessalonians 4:9
1 Thessalonians 5:17
1 Thessalonians 5:18
1 Timothy 4:12
1 Timothy 4:7-8
1 Timothy 6:6-7
2 Chronicles 15:4
2 Chronicles 7:14
2 Corinthians 12:8-9
2 Corinthians 3:18
2 Corinthians 3:5
2 Corinthians 5:17
2 Corinthians 8:12
2 Corinthians 9:8
2 Corinthians 9:8-9
2 Timothy 1:8-9
2 Timothy 2:12
2 Timothy 2:13
2 Timothy 3:16
Acts 20:35
James 2:14
James 2:17
James 3:2
James 3:5
James 4:17
James 4:8
James 5:16
Jeremiah 15:16
Jeremiah 17:7
Jeremiah 29:11
Jeremiah 29:13
Jeremiah 3:22
Joel 2:32
John 13:34
John 13:35
John 14:1
John 14:21
John 14:27
John 14:6
John 15;13
John 15:4-5
John 15:9
John 16:33
John 3:16
John 3:30
Joshua 1:9
Joshua 22:5
Joshua 24:15
Lamentations 3:23
Luke 11:28
Luke 16:3
Luke 17:4
Luke 21:3-4
Luke 6:35
Luke 6:36
Luke 6:38
Mark 1:17
Mark 1:35
Mark 12:29-31
Mark 12:31
Mark 13:31
Mark 3:28-29
Mark 8:36
Matthew 10:42
Matthew 11:28
Matthew 12:33
Matthew 12:35
Matthew 13:23
Matthew 16:24
Matthew 18:4
Matthew 20:26
Matthew 23:12
Matthew 25:21
Matthew 25:35-36
Matthew 28:20
Matthew 28:20
Matthew 4:19-20
Matthew 5:13
Matthew 5:22
Matthew 5:4
Matthew 5:44
Matthew 5:45
Matthew 6:1
Matthew 6:12
Matthew 6:13
Matthew 6:24
Matthew 6:32-33
Matthew 7:1
Matthew 7:12
Matthew 7:24
Matthew 7:3
Matthew 7:7
Micah 6:8
Nahum 1:7
Philipians 1:6
Philipians 2:10-11
Philipians 4:13
Philippains 2:10
Philippians 1:6
Philippians 2:5-7
Philippians 3:13-14
Philippians 4;19
Philippians 4:4
Philippians 4:6-7
Philippians 4:7
Philippians 4:8
Phillipians 1:6
Phillipians 2:4
Proverbs 11:29
Proverbs 11:3
Proverbs 12:15
Proverbs 12:16
Proverbs 12:22
Proverbs 15:1
Proverbs 16:3
Proverbs 17:27
Proverbs 2:6
Proverbs 21:2
Proverbs 25:19
Proverbs 28:13
Proverbs 3:34
Proverbs 3:5-6
Psalm 145:18
Psalm 32:5
Pslam 1:1
Pslam 100:4
Pslam 103:11
Pslam 103:8
Pslam 111:10
Pslam 116:1
Pslam 118:8
Pslam 119:52
Pslam 119:9
Pslam 119:98
Pslam 13:6
Pslam 138:3
Pslam 139:13-15
Pslam 139:17-18
Pslam 139:3
Pslam 145:8
Pslam 147:3
Pslam 150:1
Pslam 18:27
Pslam 23:3
Pslam 23:6
Pslam 25:4
Pslam 27:1
Pslam 27:14
Pslam 27:4
Pslam 28:7
Pslam 29:11
Pslam 29:3-4
Pslam 3:5
Pslam 32:7
Pslam 32:8
Pslam 33:21
Pslam 37:23
Pslam 37:5-6
Pslam 37:8
Pslam 4:8
Pslam 40:1
Pslam 46:!0
Pslam 46:1
Pslam 5:3
Pslam 5:8
Pslam 51:10
Pslam 55:22
Pslam 60:12
Pslam 89:5
Pslam 9:9
Pslam 91:1
Pslam 91:11
Pslam 92:1-2
Pslam 92:2
Pslam 98:4-6
Pslam 98:6-7
Revelation 1:8
Revelation 20:15
Revelation 3:20
Revelation 4:11
Roamsn 6:12
Romans 1:16-17
Romans 1:18
Romans 1:20
Romans 10:9
Romans 12:1-2
Romans 12:4-5
Romans 12:6
Romans 3:23
Romans 3:24
Romans 4:7
Romans 5:3-5
Romans 5:5
Romans 5:8
Romans 6:16
Romans 6:23
Romans 8:15
Romans 8:28
Romans 8:38-39
Romans 8:9
Titus 3:4-5
Titus 3:5
Zephaniah 3:17
